weekday,dep_time,n,total_dep_delay,avg_dep_delay,var,std,sme
2,11,11744,44599,3.797598773841962,4.773557690042177e-4,0.021848472921561765,2.0161046276387352e-4
2,12,12190,60351,4.950861361771945,1.209918351594396e-4,0.010999628864622642,9.962679957087347e-5
2,13,11451,71825,6.272377958256921,1.0010574642669385e-6,0.0010005285924284916,9.349917886300607e-6
2,14,10965,89282,8.142453260373918,3.565059162360752e-4,0.018881364257809213,1.8031383600848385e-4
2,15,12245,80067,6.538750510412413,1.1388835018780502e-5,0.003374734807178262,3.049722024267217e-5
2,16,11372,78835,6.932377769961309,5.1740223441630666e-5,0.0071930677350926335,6.745213871090542e-5
2,17,12920,83244,6.443034055727554,5.9697765693334515e-6,0.002443312622104149,2.1495511392156483e-5
2,18,10876,89271,8.208072820890033,3.836770479080965e-4,0.01958767591900827,1.8782279995854548e-4
2,19,10684,81331,7.612411081991763,1.9600295887443328e-4,0.014000105673688083,1.3544543555324515e-4
2,20,9317,95947,10.29805731458624,0.001833163403887542,0.04281545753448796,4.435703838193997e-4
2,21,6559,75607,11.527214514407683,0.004383289838918795,0.06620641841180351,8.174877978147265e-4
2,22,4939,56278,11.394614294391577,0.005536667742145983,0.07440878807067068,0.0010587775350983366
2,23,1740,39406,22.64712643678161,0.1561208077749532,0.39512125705275997,0.009472307119678572
3,4,463,-2388,-5.157667386609071,0.2769111518117257,0.526223480863146,0.024455679125593877
3,5,8266,-35593,-4.305952092910719,0.013264864834266917,0.11517319494685782,0.001266787338670652
3,6,13558,-38872,-2.86708954123027,0.006017427236974526,0.07757207768891153,6.662045721914119e-4
3,7,12482,-21211,-1.6993270309245314,0.004955339516924752,0.07039417246423707,6.300784393098401e-4
3,8,12938,-2722,-0.21038800432833513,0.003141872867843304,0.056052411793278835,4.927886885816376e-4
3,9,11246,14464,1.2861461853103326,0.002116864620390753,0.04600939708788579,4.3385789287129286e-4
3,10,12423,30046,2.4185784432101745,0.0011300018280056767,0.03361549981787682,3.015965230081879e-4
3,11,11993,44798,3.7353456182773286,4.923486077051486e-4,0.02218892984587469,2.0261539483561774e-4
3,12,12322,52804,4.285343288427203,2.868270198834119e-4,0.01693596822987726,1.525700990191275e-4
3,13,11580,67550,5.833333333333333,9.517259702146956e-6,0.003085005624329874,2.866828283312256e-5
3,14,11220,76822,6.846880570409982,4.1402464349627076e-5,0.006434474675498154,6.074585756408999e-5
3,15,12328,75494,6.123783257624919,1.3989620984284682e-7,3.740270175306148e-4,3.368655979556552e-6
3,16,11670,80899,6.932219365895459,5.039818623924401e-5,0.007099167996268578,6.571613687699798e-5
3,17,13281,82509,6.212559295233793,1.6808239741433513e-7,4.099785328701189e-4,3.5575067158271494e-6
3,18,11232,93570,8.330662393162394,4.1744498886684957e-4,0.020431470550766766,1.927840406536237e-4
3,19,11249,93074,8.273979909325273,3.9527781554849124e-4,0.019881594894486994,1.8745380574134422e-4
3,20,9653,97481,10.098518595255362,0.0016026223701561754,0.04003276620664847,4.0745949929705475e-4
3,21,6902,83580,12.109533468559837,0.0051193521139107565,0.0715496478950858,8.612317328338082e-4
3,22,5466,70441,12.887120380534212,0.008266137440917455,0.09091830091305851,0.0012297490545176216
3,23,2042,54487,26.68315377081293,0.2061615224976529,0.45405013214143314,0.010047914653414319
